Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM	Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0265153	lncRNA:CR44222	chr2L	+	223519	224708	0.248739	3.620322	6.173570	FBgn0265153	lncRNA:CR44222	chr2L	+	223519	224708	0.342017	5.290994	8.492374
FBgn0265152	lncRNA:CR44221	chr2L	+	228037	228588	0.000000	0.000000	0.000000	FBgn0265152	lncRNA:CR44221	chr2L	+	228037	228588	0.000000	0.000000	0.000000
FBgn0263465	snoRNA:kis-a	chr2L	-	232166	232253	0.000000	0.000000	0.000000	FBgn0263465	snoRNA:kis-a	chr2L	-	232166	232253	0.000000	0.000000	0.000000
FBgn0031235	CG13693	chr2L	+	232487	234208	0.044578	0.648820	1.106402	FBgn0031235	CG13693	chr2L	+	232487	234208	0.000000	0.000000	0.000000
FBgn0262252	mir-965	chr2L	-	243035	243141	0.000000	0.000000	0.000000	FBgn0262252	mir-965	chr2L	-	243035	243141	0.000000	0.000000	0.000000
FBgn0265149	lncRNA:CR44218	chr2L	+	248909	249812	0.000000	0.000000	0.000000	FBgn0265149	lncRNA:CR44218	chr2L	+	248909	249812	0.160398	2.481353	3.982726
FBgn0283652	Rpp30	chr2L	-	251039	252373	0.266063	3.872468	6.603543	FBgn0283652	Rpp30	chr2L	-	251039	252373	0.434389	6.719986	10.785996
FBgn0031238	CG3645	chr2L	-	252589	271744	0.438208	6.377987	10.876091	FBgn0031238	CG3645	chr2L	-	252589	271744	0.602472	9.320226	14.959542
FBgn0031239	CG17075	chr2L	-	259949	267505	0.000000	0.000000	0.000000	FBgn0031239	CG17075	chr2L	-	259949	267505	0.024481	0.708401	1.137028
FBgn0265150	lncRNA:CR44219	chr2L	+	262203	263003	0.000000	0.000000	0.000000	FBgn0265150	lncRNA:CR44219	chr2L	+	262203	263003	0.000000	0.000000	0.000000
FBgn0031240	CG3345	chr2L	+	269088	271626	0.000000	0.000000	0.000000	FBgn0031240	CG3345	chr2L	+	269088	271626	0.000000	0.000000	0.000000
FBgn0086912	mbm	chr2L	-	271912	273715	0.776765	11.305583	19.278896	FBgn0086912	mbm	chr2L	-	271912	273715	0.711276	11.003420	17.661175
FBgn0086856	CG11555	chr2L	+	273836	274766	0.874329	14.345013	24.461897	FBgn0086856	CG11555	chr2L	+	273836	274766	0.627283	11.294936	18.129078
FBgn0086855	CG17078	chr2L	-	274740	278234	0.789184	16.710123	28.495010	FBgn0086855	CG17078	chr2L	-	274740	278234	0.624492	9.660873	15.506306
FBgn0003444	smo	chr2L	+	277582	282167	0.488772	7.113931	12.131063	FBgn0003444	smo	chr2L	+	277582	282167	0.504741	7.808330	12.532856
FBgn0031244	CG11601	chr2L	-	281670	283269	0.637052	9.272101	15.811294	FBgn0031244	CG11601	chr2L	-	281670	283269	0.532369	8.235734	13.218866
FBgn0031245	CG3625	chr2L	-	283385	291795	0.117506	1.710265	2.916437	FBgn0031245	CG3625	chr2L	-	283385	291795	0.229576	3.551534	5.700434
FBgn0267995	asRNA:CR46262	chr2L	+	283807	284255	0.000000	0.000000	0.000000	FBgn0267995	asRNA:CR46262	chr2L	+	283807	284255	0.000000	0.000000	0.000000
FBgn0267996	asRNA:CR46263	chr2L	+	286383	288292	0.000000	0.000000	0.000000	FBgn0267996	asRNA:CR46263	chr2L	+	286383	288292	0.000000	0.000000	0.000000
FBgn0025686	Amnionless	chr2L	-	287252	289144	0.000000	0.000000	0.000000	FBgn0025686	Amnionless	chr2L	-	287252	289144	0.000000	0.000000	0.000000
FBgn0031247	CG11562	chr2L	+	292419	293222	0.196524	2.860348	4.877622	FBgn0031247	CG11562	chr2L	+	292419	293222	0.885027	13.691343	21.975460
FBgn0017457	U2af38	chr2L	-	292959	294681	2.348640	34.183758	58.292004	FBgn0017457	U2af38	chr2L	-	292959	294681	1.507820	23.325935	37.439579
FBgn0024352	Stip1	chr2L	+	295122	297449	6.277311	91.364395	155.799530	FBgn0024352	Stip1	chr2L	+	295122	297449	8.451310	130.741531	209.848312
FBgn0020622	Pi3K21B	chr2L	+	297880	305233	0.964561	16.881388	28.787062	FBgn0020622	Pi3K21B	chr2L	+	297880	305233	0.895099	15.870430	25.473028
FBgn0004611	Plc21C	chr2L	+	305935	355566	0.124740	1.815554	3.095981	FBgn0004611	Plc21C	chr2L	+	305935	355566	0.128295	1.984720	3.185600
FBgn0263872	lncRNA:CR43719	chr2L	-	308537	309348	0.273399	3.979241	6.785618	FBgn0263872	lncRNA:CR43719	chr2L	-	308537	309348	0.091133	1.409825	2.262857
FBgn0031248	CG11912	chr2L	-	318362	319259	0.000000	0.000000	0.000000	FBgn0031248	CG11912	chr2L	-	318362	319259	0.000000	0.000000	0.000000
FBgn0031249	CG11911	chr2L	-	320279	321248	0.000000	0.000000	0.000000	FBgn0031249	CG11911	chr2L	-	320279	321248	0.000000	0.000000	0.000000
FBgn0053127	CG33127	chr2L	+	322101	323091	0.074672	1.086829	1.853320	FBgn0053127	CG33127	chr2L	+	322101	323091	0.074672	1.155174	1.854126
FBgn0264086	CG43755	chr2L	-	325522	329761	0.000000	0.000000	0.000000	FBgn0264086	CG43755	chr2L	-	325522	329761	0.000000	0.000000	0.000000
FBgn0051921	CG31921	chr2L	-	329910	332335	0.000000	0.000000	0.000000	FBgn0051921	CG31921	chr2L	-	329910	332335	0.000000	0.000000	0.000000
FBgn0031250	Ent1	chr2L	-	355565	357874	1.105036	16.083471	27.426409	FBgn0031250	Ent1	chr2L	-	355565	357874	0.865619	13.391103	21.493553
FBgn0266907	asRNA:CR45367	chr2L	+	355663	356891	0.320314	13.986254	23.850121	FBgn0266907	asRNA:CR45367	chr2L	+	355663	356891	0.409810	8.349407	13.401320
FBgn0266906	asRNA:CR45366	chr2L	+	357329	358174	0.000000	0.000000	0.000000	FBgn0266906	asRNA:CR45366	chr2L	+	357329	358174	0.000000	0.000000	0.000000
FBgn0000061	al	chr2L	+	378112	387439	0.0	0.0	0.0	FBgn0000061	al	chr2L	+	378112	387439	0.020487	0.316933	0.508698
FBgn0003278	RpI135	chr2L	+	404285	407969	0.881033	12.823174	21.866774	FBgn0003278	RpI135	chr2L	+	404285	407969	0.711560	11.007813	17.668228
FBgn0264855	AP-2alpha	chr2L	-	408030	414777	2.143678	31.200594	53.204952	FBgn0264855	AP-2alpha	chr2L	-	408030	414777	1.641626	25.395908	40.762016
FBgn0263933	ebi	chr2L	+	415067	418536	2.362489	34.654907	59.095432	FBgn0263933	ebi	chr2L	+	415067	418536	2.513977	38.891155	62.422729
FBgn0031252	CG13690	chr2L	-	418434	419652	1.301066	18.936628	32.291771	FBgn0031252	CG13690	chr2L	-	418434	419652	0.961444	14.873513	23.872915
FBgn0002593	RpLP1	chr2L	+	419952	420864	127.981773	2371.550537	4044.097168	FBgn0002593	RpLP1	chr2L	+	419952	420864	133.053391	2625.672119	4214.367676
FBgn0031253	CG11885	chr2L	-	420895	421450	1.595324	23.219467	39.595097	FBgn0031253	CG11885	chr2L	-	420895	421450	1.521583	23.538847	37.781319
FBgn0031254	CG13692	chr2L	+	421771	422489	0.500752	7.288296	12.428399	FBgn0031254	CG13692	chr2L	+	421771	422489	0.272180	4.210617	6.758303
FBgn0031255	BBS8	chr2L	+	422873	425321	0.081895	1.191957	2.032591	FBgn0031255	BBS8	chr2L	+	422873	425321	0.036299	0.561545	0.901314
FBgn0004583	ex	chr2L	+	431227	448701	2.027578	29.510796	50.323418	FBgn0004583	ex	chr2L	+	431227	448701	1.926559	29.803814	47.836983
FBgn0263870	lncRNA:CR43717	chr2L	+	439539	440104	0.000000	0.000000	0.000000	FBgn0263870	lncRNA:CR43717	chr2L	+	439539	440104	0.065371	1.011288	1.623180
FBgn0015924	crq	chr2L	-	448254	453024	2.552669	37.153336	63.355892	FBgn0015924	crq	chr2L	-	448254	453024	1.704705	26.371740	42.328285
FBgn0031256	shv	chr2L	+	453108	454654	4.873707	70.935356	120.962830	FBgn0031256	shv	chr2L	+	453108	454654	4.770384	73.797707	118.449928
FBgn0262510	CR43080	chr2L	+	454754	455313	1.625556	23.659483	40.345440	FBgn0262510	CR43080	chr2L	+	454754	455313	1.359341	21.028969	33.752804
FBgn0031257	CG4133	chr2L	+	455531	458745	2.376609	34.590836	58.986179	FBgn0031257	CG4133	chr2L	+	455531	458745	2.880772	44.565464	71.530350
FBgn0031258	CG4297	chr2L	-	458876	472200	0.123890	1.803182	3.074884	FBgn0031258	CG4297	chr2L	-	458876	472200	0.032319	0.499974	0.802490
FBgn0027592	MED15	chr2L	+	473013	476170	2.780478	40.469028	69.009995	FBgn0027592	MED15	chr2L	+	473013	476170	1.578318	24.416536	39.190063
FBgn0003963	ush	chr2L	+	476220	540560	2.070913	30.141523	51.398968	FBgn0003963	ush	chr2L	+	476220	540560	2.262006	34.993172	56.166222
FBgn0043364	cbt	chr2L	-	476446	479688	1.821770	40.285507	68.697044	FBgn0043364	cbt	chr2L	-	476446	479688	0.845513	18.559481	29.789124
FBgn0267991	lncRNA:CR46258	chr2L	+	490835	492649	1.245730	18.801239	32.060898	FBgn0267991	lncRNA:CR46258	chr2L	+	490835	492649	1.194490	18.519135	29.724367
FBgn0267992	lncRNA:CR46259	chr2L	-	500873	502236	1.836510	26.729855	45.581207	FBgn0267992	lncRNA:CR46259	chr2L	-	500873	502236	0.268328	4.151027	6.662657
FBgn0010602	lwr	chr2L	-	540599	542580	4.009120	92.430244	157.617096	FBgn0010602	lwr	chr2L	-	540599	542580	3.711910	96.307396	154.579391
FBgn0031260	Spp	chr2L	-	542786	544653	5.770161	83.982979	143.212341	FBgn0031260	Spp	chr2L	-	542786	544653	5.828341	90.164284	144.719284
FBgn0005660	Ets21C	chr2L	-	544925	552923	1.574684	22.919058	39.082825	FBgn0005660	Ets21C	chr2L	-	544925	552923	1.431720	22.148670	35.549995
FBgn0031261	nAChRbeta3	chr2L	+	545129	547096	5.305774	138.051163	235.412354	FBgn0031261	nAChRbeta3	chr2L	+	545129	547096	1.980537	93.223755	149.629944
FBgn0260933	rempA	chr2L	-	553742	560310	0.861350	12.536693	21.378252	FBgn0260933	rempA	chr2L	-	553742	560310	1.079345	16.697437	26.800428
FBgn0031263	Tspo	chr2L	+	559612	560523	3.962715	94.255768	160.730072	FBgn0031263	Tspo	chr2L	+	559612	560523	6.285889	128.221222	205.803070
FBgn0031264	CG11835	chr2L	-	560568	563819	0.021833	0.371727	0.633889	FBgn0031264	CG11835	chr2L	-	560568	563819	0.022448	0.406226	0.652018
FBgn0031265	CG2794	chr2L	+	564163	566472	1.006061	14.869738	25.356688	FBgn0031265	CG2794	chr2L	+	564163	566472	1.064935	16.474516	26.442625
FBgn0021874	Nle	chr2L	-	566366	568121	1.279040	18.616047	31.745096	FBgn0021874	Nle	chr2L	-	566366	568121	1.171086	18.116669	29.078382
FBgn0031266	Sf3b1	chr2L	+	568340	572907	1.444547	21.024952	35.852894	FBgn0031266	Sf3b1	chr2L	+	568340	572907	1.282329	19.837595	31.840576
FBgn0031267	Ipk2	chr2L	-	573033	574264	1.501623	21.855677	37.269489	FBgn0031267	Ipk2	chr2L	-	573033	574264	1.536526	23.770014	38.152355
FBgn0031268	cold	chr2L	+	574291	575734	0.543178	7.905795	13.481391	FBgn0031268	cold	chr2L	+	574291	575734	0.637306	9.859106	15.824480
FBgn0013323	Ptth	chr2L	-	575711	576896	0.000000	0.000000	0.000000	FBgn0013323	Ptth	chr2L	-	575711	576896	0.000000	0.000000	0.000000
FBgn0031270	CG13689	chr2L	+	602813	604430	0.047711	0.694419	1.184162	FBgn0031270	CG13689	chr2L	+	602813	604430	0.095422	1.476176	2.369354
FBgn0284247	ds	chr2L	-	640013	714983	0.000000	0.000000	0.000000	FBgn0284247	ds	chr2L	-	640013	714983	0.000000	0.000000	0.000000
FBgn0266323	lncRNA:CR44988	chr2L	+	710568	715307	0.000000	0.000000	0.000000	FBgn0266323	lncRNA:CR44988	chr2L	+	710568	715307	0.000000	0.000000	0.000000
FBgn0051658	Nnf1b	chr2L	+	810577	811531	0.632184	9.201250	15.690473	FBgn0051658	Nnf1b	chr2L	+	810577	811531	1.318008	20.389547	32.726494
FBgn0086130	Dbp21E2	chr2L	+	811584	813380	0.635681	9.252147	15.777266	FBgn0086130	Dbp21E2	chr2L	+	811584	813380	0.741917	11.477436	18.421999
FBgn0031281	Saf6	chr2L	-	813314	815950	0.626656	9.120791	15.553270	FBgn0031281	Saf6	chr2L	-	813314	815950	0.443709	6.864166	11.017414
FBgn0031282	Pex12	chr2L	+	815993	818096	0.316540	4.607145	7.856355	FBgn0031282	Pex12	chr2L	+	815993	818096	0.174905	2.705776	4.342938
FBgn0031283	CG15880	chr2L	-	816994	817950	0.000000	0.000000	0.000000	FBgn0031283	CG15880	chr2L	-	816994	817950	0.000000	0.000000	0.000000
FBgn0031284	PGAP2	chr2L	-	818079	819508	0.563504	8.201632	13.985871	FBgn0031284	PGAP2	chr2L	-	818079	819508	0.644526	9.970799	16.003756
FBgn0015621	Clp	chr2L	+	819964	821209	1.897271	27.614216	47.089264	FBgn0015621	Clp	chr2L	+	819964	821209	1.731942	26.793097	43.004589
FBgn0031285	CG3662	chr2L	+	821289	824337	5.145205	115.374802	196.743393	FBgn0031285	CG3662	chr2L	+	821289	824337	4.129108	111.866982	179.553467
FBgn0031286	CG3862	chr2L	-	824329	825861	0.962166	14.004040	23.880451	FBgn0031286	CG3862	chr2L	-	824329	825861	0.890411	13.774634	22.109146
FBgn0010583	dock	chr2L	+	825969	833241	2.171888	31.611185	53.905109	FBgn0010583	dock	chr2L	+	825969	833241	1.640696	25.381523	40.738926
FBgn0020304	drongo	chr2L	-	833584	851071	5.177934	95.530403	162.903641	FBgn0020304	drongo	chr2L	-	833584	851071	4.120054	81.722252	131.169312
FBgn0264869	lncRNA:CR44060	chr2L	+	850702	851163	0.000000	0.000000	0.000000	FBgn0264869	lncRNA:CR44060	chr2L	+	850702	851163	0.000000	0.000000	0.000000
FBgn0031287	CG4291	chr2L	-	851251	852730	0.648855	9.443891	16.104239	FBgn0031287	CG4291	chr2L	-	851251	852730	0.761832	11.785521	18.916494
FBgn0020545	kraken	chr2L	+	852768	854539	4.376515	67.808487	115.630714	FBgn0020545	kraken	chr2L	+	852768	854539	3.949242	65.036263	104.387253
FBgn0029095	aru	chr2L	-	861849	868354	5.827576	90.174133	153.769852	FBgn0029095	aru	chr2L	-	861849	868354	4.021481	62.212200	99.854462
FBgn0086031	snoRNA:Me28S-U1230	chr2L	-	865366	865493	2.242188	32.634380	55.649918	FBgn0086031	snoRNA:Me28S-U1230	chr2L	-	865366	865493	0.000000	0.000000	0.000000
FBgn0020305	dbe	chr2L	-	868673	869857	1.833755	26.689758	45.512829	FBgn0020305	dbe	chr2L	-	868673	869857	1.459072	22.571804	36.229153
FBgn0053526	PNUTS	chr2L	+	870465	877038	1.884488	27.428162	46.771996	FBgn0053526	PNUTS	chr2L	+	870465	877038	1.771186	27.400200	43.979027
FBgn0031292	CG15824	chr2L	-	877172	885141	0.010464	0.152300	0.259711	FBgn0031292	CG15824	chr2L	-	877172	885141	0.004949	0.076561	0.122885
FBgn0002936	ninaA	chr2L	+	877302	878270	0.000000	0.000000	0.000000	FBgn0002936	ninaA	chr2L	+	877302	878270	0.000000	0.000000	0.000000
FBgn0266887	lncRNA:CR45348	chr2L	-	897453	898050	0.0	0.0	0.0	FBgn0266887	lncRNA:CR45348	chr2L	-	897453	898050	0.123746	1.914347	3.072647
FBgn0002563	Lsp1beta	chr2L	+	898500	901316	0.0	0.0	0.0	FBgn0002563	Lsp1beta	chr2L	+	898500	901316	0.026919	0.416436	0.668406
FBgn0031294	IA-2	chr2L	-	1008378	1048053	0.000000	0.000000	0.000000	FBgn0031294	IA-2	chr2L	-	1008378	1048053	0.000000	0.000000	0.000000
FBgn0287617	asRNA:CR46486	chr2L	+	1019659	1028737	0.000000	0.000000	0.000000	FBgn0287617	asRNA:CR46486	chr2L	+	1019659	1028737	0.000000	0.000000	0.000000
FBgn0031295	CG4375	chr2L	-	1026105	1026897	0.000000	0.000000	0.000000	FBgn0031295	CG4375	chr2L	-	1026105	1026897	0.000000	0.000000	0.000000
FBgn0031296	CG4415	chr2L	+	1037246	1038685	0.159140	2.508648	4.277884	FBgn0031296	CG4415	chr2L	+	1037246	1038685	0.053047	0.888796	1.426574
FBgn0003310	S	chr2L	-	1049674	1077815	1.347868	19.617817	33.453369	FBgn0003310	S	chr2L	-	1049674	1077815	1.200538	18.572290	29.809683
FBgn0015905	ast	chr2L	+	1077948	1080803	1.169763	17.025551	29.032898	FBgn0015905	ast	chr2L	+	1077948	1080803	1.086339	16.805634	26.974091
FBgn0031298	Atg4a	chr2L	+	1080911	1085380	1.243502	34.155056	58.243057	FBgn0031298	Atg4a	chr2L	+	1080911	1085380	1.243992	36.588512	58.726841
FBgn0031299	CG4629	chr2L	-	1083091	1102504	0.047512	0.691523	1.179223	FBgn0031299	CG4629	chr2L	-	1083091	1102504	0.021830	0.337710	0.542045
FBgn0261938	mtRNApol	chr2L	-	1103254	1108373	1.000212	14.557787	24.824732	FBgn0261938	mtRNApol	chr2L	-	1103254	1108373	0.842306	13.030452	20.914686
FBgn0031302	CG14340	chr2L	+	1112941	1114138	0.035922	0.522834	0.891565	FBgn0031302	CG14340	chr2L	+	1112941	1114138	0.066990	1.036334	1.663380
FBgn0016926	Pino	chr2L	-	1114654	1128953	1.824990	26.562187	45.295284	FBgn0016926	Pino	chr2L	-	1114654	1128953	1.364838	21.114006	33.889297
FBgn0031304	TBC1D23	chr2L	+	1129316	1132411	2.841540	41.357769	70.525520	FBgn0031304	TBC1D23	chr2L	+	1129316	1132411	2.611625	40.401768	64.847359
FBgn0031305	Iris	chr2L	-	1132332	1134098	0.041879	0.914297	1.559110	FBgn0031305	Iris	chr2L	-	1132332	1134098	0.000000	0.000000	0.000000
FBgn0267281	lncRNA:CR45717	chr2L	+	1142869	1143216	0.014368	0.209122	0.356606	FBgn0267281	lncRNA:CR45717	chr2L	+	1142869	1143216	0.140805	2.178250	3.496226
FBgn0031307	MFS3	chr2L	+	1143201	1147395	2.961557	43.104580	73.504280	FBgn0031307	MFS3	chr2L	+	1143201	1147395	4.751602	73.507156	117.983566
FBgn0283525	l(2)10685	chr2L	+	1147822	1149449	0.453931	6.606831	11.266327	FBgn0283525	l(2)10685	chr2L	+	1147822	1149449	0.564496	8.732738	14.016588
FBgn0031309	Tfb4	chr2L	-	1149445	1150677	1.771772	25.787615	43.974442	FBgn0031309	Tfb4	chr2L	-	1149445	1150677	1.951952	30.196644	48.467495
FBgn0031310	Vps29	chr2L	+	1150766	1151764	3.087087	45.107700	76.920105	FBgn0031310	Vps29	chr2L	+	1150766	1151764	3.226226	50.016171	80.279068
FBgn0261458	capt	chr2L	-	1151678	1158262	8.907516	205.432068	350.313934	FBgn0261458	capt	chr2L	-	1151678	1158262	8.237241	201.635513	323.637604
FBgn0264267	asRNA:CR43767	chr2L	-	1158576	1159355	0.000000	0.000000	0.000000	FBgn0264267	asRNA:CR43767	chr2L	-	1158576	1159355	0.493523	7.634788	12.254310
FBgn0031312	Tango14	chr2L	+	1158661	1160220	5.241352	76.974609	131.261292	FBgn0031312	Tango14	chr2L	+	1158661	1160220	5.255582	83.418655	133.892151
FBgn0031313	CG5080	chr2L	-	1160290	1163886	3.349255	51.761005	88.265686	FBgn0031313	CG5080	chr2L	-	1160290	1163886	2.053879	31.773453	50.998371
FBgn0031314	IntS14	chr2L	+	1164443	1166425	0.734026	10.683530	18.218138	FBgn0031314	IntS14	chr2L	+	1164443	1166425	1.222857	18.917564	30.363871
FBgn0031315	CG14341	chr2L	+	1166506	1167211	1.136223	16.537388	28.200453	FBgn0031315	CG14341	chr2L	+	1166506	1167211	1.088235	16.834967	27.021170
FBgn0024314	Plap	chr2L	-	1167172	1170365	2.456575	35.754719	60.970890	FBgn0024314	Plap	chr2L	-	1167172	1170365	2.883502	46.848305	75.194450
FBgn0051922	CG31922	chr2L	+	1170181	1170789	0.297787	4.334201	7.390916	FBgn0051922	CG31922	chr2L	+	1170181	1170789	0.446680	6.910128	11.091186
FBgn0031317	Charon	chr2L	-	1170753	1172805	1.888951	27.493118	46.882763	FBgn0031317	Charon	chr2L	-	1170753	1172805	1.912826	29.591366	47.495987
FBgn0031318	CG4887	chr2L	+	1173009	1177589	1.912967	27.842665	47.478828	FBgn0031318	CG4887	chr2L	+	1173009	1177589	1.992115	30.817966	49.464756
FBgn0031319	CG4896	chr2L	+	1177690	1182454	0.738878	10.754149	18.338560	FBgn0031319	CG4896	chr2L	+	1177690	1182454	0.821759	12.712589	20.404499
FBgn0031320	CG5126	chr2L	-	1182297	1184020	0.242951	3.536080	6.029915	FBgn0031320	CG5126	chr2L	-	1182297	1184020	0.886695	13.717148	22.016876
FBgn0031321	Tgt	chr2L	+	1184065	1185698	0.854406	12.435625	21.205904	FBgn0031321	Tgt	chr2L	+	1184065	1185698	0.564496	8.732738	14.016588
FBgn0031322	CG5001	chr2L	+	1185757	1196807	0.373925	5.442367	9.280621	FBgn0031322	CG5001	chr2L	+	1185757	1196807	0.146608	2.268022	3.640316
FBgn0031323	CG5139	chr2L	-	1198465	1199266	0.0	0.0	0.0	FBgn0031323	CG5139	chr2L	-	1198465	1199266	0.000000	0.000000	0.000000
FBgn0263080	CG43348	chr2L	+	1199412	1199924	0.0	0.0	0.0	FBgn0263080	CG43348	chr2L	+	1199412	1199924	0.000000	0.000000	0.000000
FBgn0263081	CG43349	chr2L	+	1200205	1200663	0.0	0.0	0.0	FBgn0263081	CG43349	chr2L	+	1200205	1200663	0.000000	0.000000	0.000000
