Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.25	-	chr2L	+	273836	274766	0.627283	11.294936	18.129078
STRG.26	-	chr2L	-	275869	276846	1.656716	25.629353	41.136707
STRG.27	-	chr2L	-	283771	284959	1.305215	20.191641	32.408840
FBgn0031247	CG11562	chr2L	+	292419	293222	0.885027	13.691343	21.975460
FBgn0017457	U2af38	chr2L	-	292959	294681	1.507820	23.325935	37.439579
STRG.28	-	chr2L	+	292419	293222	0.885027	13.691343	21.975460
FBgn0024352	Stip1	chr2L	+	295122	297449	8.451310	130.741531	209.848312
STRG.29	-	chr2L	+	295122	297449	8.451310	130.741531	209.848312
FBgn0020622	Pi3K21B	chr2L	+	297880	305233	0.895099	15.870430	25.473028
STRG.30	-	chr2L	+	297880	305233	0.895099	15.870430	25.473028
FBgn0004611	Plc21C	chr2L	+	305935	355566	0.128295	1.984720	3.185600
FBgn0263872	lncRNA:CR43719	chr2L	-	308537	309348	0.091133	1.409825	2.262857
FBgn0031248	CG11912	chr2L	-	318362	319259	0.000000	0.000000	0.000000
FBgn0031249	CG11911	chr2L	-	320279	321248	0.000000	0.000000	0.000000
FBgn0053127	CG33127	chr2L	+	322101	323091	0.074672	1.155174	1.854126
FBgn0264086	CG43755	chr2L	-	325522	329761	0.000000	0.000000	0.000000
FBgn0051921	CG31921	chr2L	-	329910	332335	0.000000	0.000000	0.000000
FBti0019096	-	chr2L	-	347941	355383	0.301312	4.661288	7.481658
FBgn0031250	Ent1	chr2L	-	355565	357874	0.865619	13.391103	21.493553
FBgn0266907	asRNA:CR45367	chr2L	+	355663	356891	0.409810	8.349407	13.401320
FBgn0266906	asRNA:CR45366	chr2L	+	357329	358174	0.000000	0.000000	0.000000
STRG.31	-	chr2L	-	308537	309348	0.091133	1.409825	2.262857
STRG.32	-	chr2L	+	322101	323091	0.074672	1.155174	1.854126
STRG.33	-	chr2L	-	347941	355383	0.301312	4.661288	7.481658
STRG.34	-	chr2L	+	355663	356891	0.409810	8.349407	13.401320
STRG.35	-	chr2L	-	356814	357829	2.168033	33.539410	53.832848
FBgn0000061	al	chr2L	+	378112	387439	0.020487	0.316933	0.508698
FBgn0003278	RpI135	chr2L	+	404285	407969	0.711560	11.007813	17.668228
FBgn0264855	AP-2alpha	chr2L	-	408030	414777	1.641626	25.395908	40.762016
STRG.36	-	chr2L	-	409013	409716	1.490596	23.059481	37.011902
STRG.37	-	chr2L	-	409790	412658	2.251616	34.832439	55.908234
FBgn0263933	ebi	chr2L	+	415067	418536	2.513977	38.891155	62.422729
FBgn0031252	CG13690	chr2L	-	418434	419652	0.961444	14.873513	23.872915
STRG.38	-	chr2L	+	415067	418536	2.513977	38.891155	62.422729
STRG.39	-	chr2L	-	418434	419652	0.961444	14.873513	23.872915
FBgn0002593	RpLP1	chr2L	+	419952	420864	133.053391	2625.672119	4214.367676
FBgn0031253	CG11885	chr2L	-	420895	421450	1.521583	23.538847	37.781319
FBgn0031254	CG13692	chr2L	+	421771	422489	0.272180	4.210617	6.758303
FBgn0031255	BBS8	chr2L	+	422873	425321	0.036299	0.561545	0.901314
STRG.40	-	chr2L	+	419952	420864	133.053391	2625.672119	4214.367676
STRG.41	-	chr2L	-	420895	421450	1.521583	23.538847	37.781319
FBgn0004583	ex	chr2L	+	431227	448701	1.926559	29.803814	47.836983
FBgn0263870	lncRNA:CR43717	chr2L	+	439539	440104	0.065371	1.011288	1.623180
FBgn0015924	crq	chr2L	-	448254	453024	1.704705	26.371740	42.328285
FBti0063763	-	chr2L	-	451600	451692	0.333333	5.156652	8.276749
FBgn0031256	shv	chr2L	+	453108	454654	4.770384	73.797707	118.449928
FBgn0262510	CR43080	chr2L	+	454754	455313	1.359341	21.028969	33.752804
FBgn0031257	CG4133	chr2L	+	455531	458745	2.880772	44.565464	71.530350
STRG.42	-	chr2L	+	438397	448339	2.242688	34.694321	55.686550
STRG.43	-	chr2L	+	439539	440104	0.065371	1.011288	1.623180
STRG.44	-	chr2L	-	449230	450532	3.026913	46.826263	75.159065
STRG.45	-	chr2L	-	451600	451692	0.333333	5.156652	8.276749
STRG.46	-	chr2L	+	453108	454654	4.770384	73.797707	118.449928
STRG.47	-	chr2L	+	454754	455313	1.359341	21.028969	33.752804
STRG.48	-	chr2L	+	456537	458705	3.527328	54.567669	87.584511
FBgn0031258	CG4297	chr2L	-	458876	472200	0.032319	0.499974	0.802490
FBgn0027592	MED15	chr2L	+	473013	476170	1.578318	24.416536	39.190063
STRG.49	-	chr2L	+	473056	473957	1.488757	23.031031	36.966240
STRG.50	-	chr2L	+	474057	475803	1.990864	30.798613	49.433693
FBgn0003963	ush	chr2L	+	476220	540560	2.262006	34.993172	56.166222
FBgn0043364	cbt	chr2L	-	476446	479688	0.845513	18.559481	29.789124
FBgn0267991	lncRNA:CR46258	chr2L	+	490835	492649	1.194490	18.519135	29.724367
FBgn0267992	lncRNA:CR46259	chr2L	-	500873	502236	0.268328	4.151027	6.662657
FBgn0010602	lwr	chr2L	-	540599	542580	3.711910	96.307396	154.579391
STRG.51	-	chr2L	-	476446	479688	0.845513	18.559481	29.789124
STRG.52	-	chr2L	+	489516	539412	2.461588	49.635765	79.668495
STRG.53	-	chr2L	-	500873	502236	0.268328	4.151027	6.662657
STRG.54	-	chr2L	-	541393	542580	6.205591	96.000320	154.086502
FBgn0031260	Spp	chr2L	-	542786	544653	5.828341	90.164284	144.719284
STRG.55	-	chr2L	-	542786	544653	5.828341	90.164284	144.719284
FBgn0005660	Ets21C	chr2L	-	544925	552923	1.431720	22.148670	35.549995
FBgn0031261	nAChRbeta3	chr2L	+	545129	547096	1.980537	93.223755	149.629944
STRG.56	-	chr2L	+	545129	547096	1.980537	93.223755	149.629944
FBgn0260933	rempA	chr2L	-	553742	560310	1.079345	16.697437	26.800428
FBgn0031263	Tspo	chr2L	+	559612	560523	6.285889	128.221222	205.803070
STRG.57	-	chr2L	+	559612	560523	6.285889	128.221222	205.803070
FBgn0031264	CG11835	chr2L	-	560568	563819	0.022448	0.406226	0.652018
STRG.58	-	chr2L	-	560568	563347	0.026259	0.406226	0.652018
FBgn0031265	CG2794	chr2L	+	564163	566472	1.064935	16.474516	26.442625
FBgn0021874	Nle	chr2L	-	566366	568121	1.171086	18.116669	29.078382
STRG.59	-	chr2L	+	564163	566472	1.064935	16.474516	26.442625
STRG.60	-	chr2L	-	566702	568069	1.387786	21.469011	34.459103
FBgn0031266	Sf3b1	chr2L	+	568340	572907	1.282329	19.837595	31.840576
FBgn0031267	Ipk2	chr2L	-	573033	574264	1.536526	23.770014	38.152355
STRG.61	-	chr2L	-	573033	574264	1.536526	23.770014	38.152355
FBgn0031268	cold	chr2L	+	574291	575734	0.637306	9.859106	15.824480
FBgn0013323	Ptth	chr2L	-	575711	576896	0.000000	0.000000	0.000000
FBgn0031270	CG13689	chr2L	+	602813	604430	0.095422	1.476176	2.369354
FBti0060585	-	chr2L	-	634184	634245	0.258065	3.992258	6.407824
STRG.62	-	chr2L	-	634184	634245	0.258065	3.992258	6.407824
FBgn0284247	ds	chr2L	-	640013	714983	0.000000	0.000000	0.000000
FBti0019098	-	chr2L	-	686974	695955	0.006569	0.101622	0.163110
FBgn0266323	lncRNA:CR44988	chr2L	+	710568	715307	0.000000	0.000000	0.000000
STRG.63	-	chr2L	-	686974	695955	0.006569	0.101622	0.163110
FBti0019099	-	chr2L	-	770516	772243	0.008565	0.132500	0.212671
STRG.64	-	chr2L	-	770516	772243	0.008565	0.132500	0.212671
FBgn0051658	Nnf1b	chr2L	+	810577	811531	1.318008	20.389547	32.726494
FBgn0086130	Dbp21E2	chr2L	+	811584	813380	0.741917	11.477436	18.421999
FBgn0031281	Saf6	chr2L	-	813314	815950	0.443709	6.864166	11.017414
FBgn0031282	Pex12	chr2L	+	815993	818096	0.174905	2.705776	4.342938
FBgn0031283	CG15880	chr2L	-	816994	817950	0.000000	0.000000	0.000000
FBgn0031284	PGAP2	chr2L	-	818079	819508	0.644526	9.970799	16.003756
STRG.65	-	chr2L	+	810668	811203	2.286396	35.370483	56.771832
STRG.66	-	chr2L	-	814935	815328	1.085044	16.785601	26.941936
STRG.67	-	chr2L	+	815993	818096	0.174905	2.705776	4.342938
FBgn0015621	Clp	chr2L	+	819964	821209	1.731942	26.793097	43.004589
STRG.68	-	chr2L	+	819964	821209	1.731942	26.793097	43.004589
FBgn0031285	CG3662	chr2L	+	821289	824337	4.129108	111.866982	179.553467
FBgn0031286	CG3862	chr2L	-	824329	825861	0.890411	13.774634	22.109146
FBgn0010583	dock	chr2L	+	825969	833241	1.640696	25.381523	40.738926
STRG.69	-	chr2L	+	821422	824337	4.321867	111.866982	179.553467
STRG.70	-	chr2L	-	824329	825861	0.890411	13.774634	22.109146
STRG.71	-	chr2L	+	826008	831614	2.144712	33.178635	53.253780
FBgn0020304	drongo	chr2L	-	833584	851071	4.120054	81.722252	131.169312
FBgn0264869	lncRNA:CR44060	chr2L	+	850702	851163	0.000000	0.000000	0.000000
STRG.72	-	chr2L	-	833584	851071	5.016828	81.592834	130.961578
FBgn0031287	CG4291	chr2L	-	851251	852730	0.761832	11.785521	18.916494
FBgn0020545	kraken	chr2L	+	852768	854539	3.949242	65.036263	104.387253
STRG.73	-	chr2L	+	852768	854539	3.949242	65.036263	104.387253
FBgn0029095	aru	chr2L	-	861849	868354	4.021481	62.212200	99.854462
FBgn0086031	snoRNA:Me28S-U1230	chr2L	-	865366	865493	0.000000	0.000000	0.000000
STRG.74	-	chr2L	-	861850	864107	5.180412	80.140831	128.631027
STRG.75	-	chr2L	-	864212	865860	4.050874	62.666912	100.584305
FBgn0020305	dbe	chr2L	-	868673	869857	1.459072	22.571804	36.229153
STRG.76	-	chr2L	-	868673	869857	1.459072	22.571804	36.229153
FBgn0053526	PNUTS	chr2L	+	870465	877038	1.771186	27.400200	43.979027
STRG.77	-	chr2L	+	871861	876954	2.504180	38.739597	62.179466
FBgn0031292	CG15824	chr2L	-	877172	885141	0.004949	0.076561	0.122885
FBgn0002936	ninaA	chr2L	+	877302	878270	0.000000	0.000000	0.000000
FBgn0266887	lncRNA:CR45348	chr2L	-	897453	898050	0.123746	1.914347	3.072647
STRG.78	-	chr2L	-	897453	898050	0.123746	1.914347	3.072647
FBgn0002563	Lsp1beta	chr2L	+	898500	901316	0.026919	0.416436	0.668406
FBti0019100	-	chr2L	+	976935	984512	0.005859	0.090639	0.145481
STRG.79	-	chr2L	+	976935	984512	0.005859	0.090639	0.145481
FBti0019101	-	chr2L	-	996780	1005816	0.011300	0.174811	0.280582
STRG.80	-	chr2L	-	996780	1005816	0.011300	0.174811	0.280582
FBgn0031294	IA-2	chr2L	-	1008378	1048053	0.000000	0.000000	0.000000
FBgn0287617	asRNA:CR46486	chr2L	+	1019659	1028737	0.000000	0.000000	0.000000
FBgn0031295	CG4375	chr2L	-	1026105	1026897	0.000000	0.000000	0.000000
FBgn0031296	CG4415	chr2L	+	1037246	1038685	0.053047	0.888796	1.426574
STRG.81	-	chr2L	+	1037246	1038533	0.057453	0.888796	1.426574
FBgn0003310	S	chr2L	-	1049674	1077815	1.200538	18.572290	29.809683
FBgn0015905	ast	chr2L	+	1077948	1080803	1.086339	16.805634	26.974091
FBgn0031298	Atg4a	chr2L	+	1080911	1085380	1.243992	36.588512	58.726841
FBgn0031299	CG4629	chr2L	-	1083091	1102504	0.021830	0.337710	0.542045
STRG.82	-	chr2L	-	1051629	1052497	1.507463	23.320412	37.430714
STRG.83	-	chr2L	+	1078003	1079027	1.365325	21.121540	33.901390
STRG.84	-	chr2L	+	1080911	1083378	2.283719	35.329075	56.705360
FBgn0261938	mtRNApol	chr2L	-	1103254	1108373	0.842306	13.030452	20.914686
STRG.85	-	chr2L	-	1103906	1105508	1.146184	17.731434	28.460058
STRG.86	-	chr2L	-	1106356	1107317	1.008811	15.606278	25.049049
FBgn0031302	CG14340	chr2L	+	1112941	1114138	0.066990	1.036334	1.663380
FBgn0016926	Pino	chr2L	-	1114654	1128953	1.364838	21.114006	33.889297
STRG.87	-	chr2L	-	1114870	1128346	1.820433	28.162048	45.201843
FBgn0031304	TBC1D23	chr2L	+	1129316	1132411	2.611625	40.401768	64.847359
FBgn0031305	Iris	chr2L	-	1132332	1134098	0.000000	0.000000	0.000000
STRG.88	-	chr2L	+	1129316	1132411	2.611625	40.401768	64.847359
FBgn0267281	lncRNA:CR45717	chr2L	+	1142869	1143216	0.140805	2.178250	3.496226
FBgn0031307	MFS3	chr2L	+	1143201	1147395	4.751602	73.507156	117.983566
STRG.89	-	chr2L	+	1142869	1143216	0.140805	2.178250	3.496226
STRG.90	-	chr2L	+	1143201	1147395	4.751602	73.507156	117.983566
FBgn0283525	l(2)10685	chr2L	+	1147822	1149449	0.564496	8.732738	14.016588
FBgn0031309	Tfb4	chr2L	-	1149445	1150677	1.951952	30.196644	48.467495
FBgn0031310	Vps29	chr2L	+	1150766	1151764	3.226226	50.016171	80.279068
FBgn0261458	capt	chr2L	-	1151678	1158262	8.237241	201.635513	323.637604
FBgn0264267	asRNA:CR43767	chr2L	-	1158576	1159355	0.493523	7.634788	12.254310
FBgn0031312	Tango14	chr2L	+	1158661	1160220	5.255582	83.418655	133.892151
FBgn0031313	CG5080	chr2L	-	1160290	1163886	2.053879	31.773453	50.998371
FBgn0031314	IntS14	chr2L	+	1164443	1166425	1.222857	18.917564	30.363871
FBgn0031315	CG14341	chr2L	+	1166506	1167211	1.088235	16.834967	27.021170
FBgn0024314	Plap	chr2L	-	1167172	1170365	2.883502	46.848305	75.194450
FBgn0051922	CG31922	chr2L	+	1170181	1170789	0.446680	6.910128	11.091186
FBgn0031317	Charon	chr2L	-	1170753	1172805	1.912826	29.591366	47.495987
FBgn0031318	CG4887	chr2L	+	1173009	1177589	1.992115	30.817966	49.464756
FBgn0031319	CG4896	chr2L	+	1177690	1182454	0.821759	12.712589	20.404499
FBgn0031320	CG5126	chr2L	-	1182297	1184020	0.886695	13.717148	22.016876
FBgn0031321	Tgt	chr2L	+	1184065	1185698	0.564496	8.732738	14.016588
FBgn0031322	CG5001	chr2L	+	1185757	1196807	0.146608	2.268022	3.640316
FBgn0031323	CG5139	chr2L	-	1198465	1199266	0.000000	0.000000	0.000000
FBgn0263080	CG43348	chr2L	+	1199412	1199924	0.000000	0.000000	0.000000
FBgn0263081	CG43349	chr2L	+	1200205	1200663	0.000000	0.000000	0.000000
FBgn0040723	CG5011	chr2L	+	1200671	1201220	0.000000	0.000000	0.000000
FBgn0031324	CG14342	chr2L	+	1204215	1205250	0.000000	0.000000	0.000000
STRG.91	-	chr2L	+	1147822	1149449	0.564496	8.732738	14.016588
STRG.92	-	chr2L	-	1149808	1150652	2.888889	44.691036	71.731895
STRG.93	-	chr2L	+	1150766	1151764	3.226226	50.016171	80.279068
STRG.94	-	chr2L	-	1151678	1158262	13.002451	201.147568	322.854370
STRG.95	-	chr2L	+	1158661	1160220	5.255582	83.418655	133.892151
STRG.96	-	chr2L	-	1160456	1162133	3.298517	51.027969	81.903069
STRG.97	-	chr2L	+	1166506	1167211	1.088235	16.834967	27.021170
STRG.98	-	chr2L	-	1167172	1170079	3.002199	46.549397	74.714684
STRG.99	-	chr2L	-	1171034	1172681	1.995916	30.876766	49.559135
STRG.100	-	chr2L	+	1173061	1174226	2.267749	35.082016	56.308823
STRG.101	-	chr2L	+	1175581	1177441	2.341071	36.216301	58.129425
STRG.102	-	chr2L	+	1178856	1179327	1.053012	16.290068	26.146572
STRG.103	-	chr2L	+	1180018	1180438	1.210843	18.731709	30.065559
STRG.104	-	chr2L	+	1180522	1182094	1.405125	21.737246	34.889633
STRG.105	-	chr2L	+	1184065	1185698	0.564496	8.732738	14.016588
STRG.106	-	chr2L	+	1191681	1192132	1.038265	16.061930	25.780401
FBgn0259229	CG42329	chr2L	+	1219293	1229802	0.000000	0.000000	0.000000
FBti0019102	-	chr2L	+	1220184	1227592	0.176009	2.722854	4.370351
STRG.107	-	chr2L	+	1220184	1227592	0.176009	2.722854	4.370351
FBgn0031327	CG5397	chr2L	+	1240036	1243018	1.543920	26.874794	43.135715
STRG.108	-	chr2L	+	1240036	1243018	1.543920	26.874794	43.135715
FBti0019103	-	chr2L	-	1301807	1302288	0.025588	0.395846	0.635357
STRG.109	-	chr2L	-	1301807	1302288	0.025588	0.395846	0.635357
FBgn0266203	lncRNA:CR44898	chr2L	-	1380083	1381326	0.178457	2.760725	4.431136
FBgn0002543	robo2	chr2L	-	1380086	1420453	0.802127	12.408882	19.917030
FBgn0266202	asRNA:CR44897	chr2L	+	1381211	1382796	0.628625	9.724827	15.608953
STRG.110	-	chr2L	-	1380083	1381326	0.178457	2.760725	4.431136
STRG.111	-	chr2L	+	1381211	1382796	0.628625	9.724827	15.608953
STRG.112	-	chr2L	-	1384992	1387005	1.556728	24.082541	38.653976
STRG.113	-	chr2L	-	1391390	1394317	1.009886	15.622910	25.075743
FBgn0003926	snRNA:U3	chr2L	+	1432711	1432921	0.350711	5.425489	8.708249
STRG.114	-	chr2L	+	1432711	1432921	0.350711	5.425489	8.708249
FBgn0051661	CG31661	chr2L	+	1497243	1498583	0.027591	0.426832	0.685092
FBgn0031343	CG18131	chr2L	-	1498455	1500608	0.046499	0.719338	1.154583
STRG.115	-	chr2L	+	1497243	1498583	0.027591	0.426832	0.685092
FBgn0031344	CG7420	chr2L	-	1500784	1502904	0.537778	8.319411	13.353173
FBgn0264873	asRNA:CR44064	chr2L	+	1500830	1504204	0.031732	0.490893	0.787914
FBgn0261509	haf	chr2L	+	1555129	1609389	0.020981	0.324575	0.520964
FBti0019104	-	chr2L	+	1570745	1573554	0.028090	0.434552	0.697482
FBgn0031347	CG10869	chr2L	-	1584866	1587155	0.000000	0.000000	0.000000
FBgn0051935	CG31935	chr2L	-	1594822	1611157	0.433617	6.708043	10.766828
FBgn0031351	CG14352	chr2L	+	1611410	1612576	0.354369	5.482079	8.799078
FBgn0021906	RFeSP	chr2L	-	1612429	1614160	9.203936	186.634308	299.559723
STRG.116	-	chr2L	+	1570745	1573554	0.028090	0.434552	0.697482
STRG.117	-	chr2L	-	1612429	1614160	9.203936	186.634308	299.559723
FBgn0267259	lncRNA:CR45695	chr2L	-	1646932	1647163	0.159483	2.467198	3.960006
STRG.118	-	chr2L	-	1646932	1647163	0.159483	2.467198	3.960006
FBgn0086758	chinmo	chr2L	+	1651258	1704682	1.088239	16.835028	27.021269
FBti0019106	-	chr2L	+	1679032	1686439	0.158508	2.452114	3.935796
STRG.119	-	chr2L	+	1678909	1695574	4.277929	66.179443	106.222137
STRG.120	-	chr2L	+	1679032	1686439	0.158508	2.452114	3.935796
FBgn0011570	cpb	chr2L	+	1704902	1706962	4.227384	83.499939	134.022598
STRG.121	-	chr2L	+	1704902	1706777	5.270899	81.540657	130.877853
FBgn0031356	CG17660	chr2L	-	1707132	1710421	2.119731	32.792179	52.633495
FBgn0266311	asRNA:CR44976	chr2L	+	1708452	1709244	0.829620	12.834199	20.599689
FBgn0031357	mRpL48	chr2L	+	1710462	1711465	1.525322	23.596689	37.874157
FBgn0086698	frtz	chr2L	-	1711302	1715851	0.383211	5.928263	9.515233
FBti0019107	-	chr2L	-	1711411	1711678	0.264710	4.095057	6.572821
STRG.122	-	chr2L	-	1707764	1709812	3.249236	58.003887	93.099861
STRG.123	-	chr2L	+	1710653	1711292	2.398357	37.102516	59.551853
STRG.124	-	chr2L	-	1711411	1711678	0.264710	4.095057	6.572821
FBgn0031359	Rim2	chr2L	-	1716244	1724388	0.776169	12.007314	19.272486
STRG.125	-	chr2L	-	1716773	1718325	1.401718	21.684540	34.805038
FBgn0000579	Eno	chr2L	-	1724768	1729636	13.432759	439.528778	705.471069
FBgn0260648	Rrp40	chr2L	+	1728732	1729762	1.398642	21.636951	34.728661
FBgn0031360	CG31937	chr2L	+	1729887	1731070	2.493243	38.570400	61.907898
FBgn0031361	CG17652	chr2L	-	1731033	1732356	0.153589	2.376018	3.813656
STRG.126	-	chr2L	-	1724974	1727717	28.356329	438.671631	704.095276
STRG.127	-	chr2L	+	1728732	1729762	1.398642	21.636951	34.728661
